Dimension,GPU,CPU
1000,0.040836,0.074504
2000,0.010636,0.038368
3000,0.017922,0.075343
4000,0.027244,0.168293
5000,0.041737,0.199537
6000,0.054324,0.275897
7000,0.072224,0.377334
8000,0.092819,0.476986
9000,0.119416,0.61161
10000,0.148463,0.737701
11000,0.1831,0.996878
12000,0.221041,1.07496
13000,0.269383,1.27878
14000,0.318746,1.63504
15000,0.391941,1.79371
16000,0.435298,2.01044
17000,0.506441,2.56127
18000,0.583399,2.65776
19000,0.666156,3.11771
20000,0.758287,3.51921
21000,0.861381,3.94478
22000,0.970535,4.36593
23000,1.07926,4.77581
24000,1.20613,5.36458
25000,1.34706,5.92654
26000,1.50725,6.61662
27000,1.6444,7.34183
28000,1.80197,7.82574
29000,1.98678,8.68062
30000,2.1772,9.82136
31000,2.37839,10.3899
32000,2.57587,11.0202
33000,2.79636,12.1866
34000,3.02865,12.9842
35000,3.28434,14.0823
36000,3.54011,15.1767
37000,3.81167,16.295
38000,4.093,17.293
39000,4.39051,18.5276
40000,4.69636,19.8989
41000,5.03863,21.3799
42000,5.39458,22.3278
43000,5.71433,24.1836
44000,6.08986,25.166
45000,6.49585,26.7297
46000,6.89567,28.1171
47000,7.31036,30.0043
48000,7.71769,31.3889
49000,8.19252,33.6495
50000,8.67248,34.9227
51000,9.16843,37.7325
52000,9.74548,38.8483
53000,10.2152,40.8054
54000,10.7262,42.8415
55000,11.2766,45.4856
