Dimension,GPU
1000,0.029941
2000,0.01691
3000,0.026852
4000,0.04107
5000,0.058995
6000,0.07941
7000,0.103529
8000,0.130414
9000,0.162579
10000,0.195813
11000,0.225088
12000,0.264936
13000,0.311971
14000,0.360358
15000,0.415013
16000,0.481924
17000,0.536372
18000,0.603455
19000,0.677305
20000,0.752935
21000,0.840878
22000,0.922733
23000,1.01959
24000,1.11733
25000,1.23379
26000,1.34353
27000,1.45532
28000,1.57519
29000,1.7147
30000,1.85264
31000,1.99843
32000,2.13602
33000,2.30429
34000,2.47156
35000,2.6452
36000,2.81914
37000,3.02111
38000,3.20958
39000,3.42241
40000,3.61545
41000,3.85865
42000,4.08279
43000,4.32235
44000,4.55156
45000,4.82982
46000,5.09168
47000,5.37593
48000,5.62517
49000,5.96547
50000,6.24582
51000,6.57296
52000,6.88721
53000,7.22937
54000,7.55312
55000,7.91501
56000,8.25257
57000,8.67485
58000,9.05566
59000,9.43856
60000,9.82819
61000,10.285
62000,10.7002
63000,11.1688
64000,11.5623
65000,12.0832
66000,12.5346
67000,13.0929
68000,13.538
69000,14.1144
70000,14.5999
71000,15.1614
72000,15.6668
73000,16.3127
74000,16.8794
75000,17.4667
76000,18.0497
